servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
amc-decorator,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
apigateway,0,7,0.0,0,14,0.0,0/7 (0.0%),0/14 (0.0%)
tf-cloudhub-rtf-services,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
acm-acm-api-experience-hub-api-db-migrations,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
acm-acm-community-bridge-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
object-store-stats-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-mcm2-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
b2b-solution-tracking-xapi,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-jafar-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-support-x-api-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-management-jms-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-landing-page-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-metrics-processor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-s3-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-designer-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
cfm-secrets-migration-job,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
tf-ang-governance,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
cloudhub-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-configuration-resolver,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
