Org Leader,Parent Cloud,Cloud,Team Name,Service Name,"non-FKP Instance Count 
 Commercial",Commercial ETA,non-FKP Instance Count Gia2h,Gia2h ETA,non-FKP Instance Count Blackjack,BlackJack ETA,Decommission ETA,Feature Dependencies,Comments
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Multi Org Data Cloud,cdp-multiorg-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Strategic Partners,cdp-partner-activation-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Service Protection,cdp-policy-engine,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-pra-istio-ingress-gateway,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Profile_Engine,cdp-profile-engine,92,FY27Q2,5,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Query,CDP Query Service,cdp-query-federator,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Query,CDP Query Service,cdp-query-service,40,FY27Q2,5,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),Data Cloud Real Time Consumption and Infra,cdp-realtime-mgmt-service,171,FY27Q2,10,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),Data Cloud Real Time Consumption and Infra,cdp-realtime-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Admin_Services,cdp-scheduler-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Segmentation,cdp-segmentation-service,62,FY27Q2,6,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-settingspath-injector,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
