				Audit Name	Audit Name	Audit Name	Audit Name
Sr Exec	Eng Manager	Service Name	Service Tier	# Replicas	AZ Distrib	HPA	Liveness Probe
Muralidhar Krishnaprasad	Ashwin Kashyap	sfmaps-geocoder	1	94%	95%	0%	
Muralidhar Krishnaprasad	Ashwin Kashyap	sfmaps-geocoding-falcon	1	98%	100%	100%	100%
Muralidhar Krishnaprasad	Ashwin Kashyap	sfmaps-gis-falcon	1	100%	50%	100%	100%
Muralidhar Krishnaprasad	Ashwin Kashyap	sfmaps-gisdbproxy-falcon	1	100%	100%	100%	100%
Muralidhar Krishnaprasad	Ashwin Kashyap	sfmaps-routing-falcon	1	99%	24%	99%	100%
Muralidhar Krishnaprasad	Ashwin Kashyap	sfmaps-territories	1	97%	25%	100%	100%
Muralidhar Krishnaprasad	Ashwin Kashyap	sfmaps-tokenizer	1	99%	100%	100%	100%
Muralidhar Krishnaprasad	Azeem Feroz	cc-cds	1	100%	100%	98%	100%
Muralidhar Krishnaprasad	Azeem Feroz	oci	1	97%	20%	100%	100%
Muralidhar Krishnaprasad	Benjamin Stice	managed-runtime-backend	1	73%	92%	99%	99%
Muralidhar Krishnaprasad	Bharath Krishnan	cce-byoc-poc-predictor	1	98%	91%	99%	99%
Muralidhar Krishnaprasad	Bharath Krishnan	p13n-decisioning-pipeline	1	97%	100%	99%	99%
Muralidhar Krishnaprasad	Bharath Krishnan	p13n-process-object-service	1	76%	96%	99%	99%
Muralidhar Krishnaprasad	Bharath Krishnan	p13n-recommendation-engine	1	98%	76%	99%	99%
Muralidhar Krishnaprasad	Bharath Krishnan	psp-index-manager	1	97%	90%	99%	99%
Muralidhar Krishnaprasad	Daniel Wilson	high-scale-flow	1	99%	61%	99%	99%
Muralidhar Krishnaprasad	Daniel Wilson	mj-approvals	1			100%	97%
Muralidhar Krishnaprasad	Daniel Wilson	mj-campaigns	1	98%	51%	98%	100%
Muralidhar Krishnaprasad	Daniel Wilson	mj-cloudpages	1			98%	99%
Muralidhar Krishnaprasad	Daniel Wilson	mj-cloudpages-jbevent	1	99%	100%	99%	99%
Muralidhar Krishnaprasad	Daniel Wilson	mj-cms-scpweb	1	96%	3%	99%	95%
Muralidhar Krishnaprasad	Daniel Wilson	mj-contacts-bumapping	1			100%	96%
Muralidhar Krishnaprasad	Daniel Wilson	mj-content-builder	1			99%	77%
Muralidhar Krishnaprasad	Daniel Wilson	mj-content-builder-admin	1			100%	100%
Muralidhar Krishnaprasad	Daniel Wilson	mj-homepage-ui	1	98%	21%	99%	100%
Muralidhar Krishnaprasad	Daniel Wilson	mj-interactive-content	1	99%	80%	100%	100%
Muralidhar Krishnaprasad	Daniel Wilson	mj-jblogstash	1	98%	35%	0%	100%
Muralidhar Krishnaprasad	Daniel Wilson	mj-mc-hub-app-ui	0	97%	61%	41%	100%
Muralidhar Krishnaprasad	Daniel Wilson	mj-spf	1	98%	61%	100%	100%
Muralidhar Krishnaprasad	Daniel Wilson	mj-tags	1			99%	99%
Muralidhar Krishnaprasad	Daniel Wilson	mj-user-content	1	99%	61%	100%	99%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-event-stream-service	1			99%	0%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-feature-flag-service	1			100%	0%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-image-service	1	97%	90%	99%	100%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-insights-service	1	98%	76%	99%	100%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-metric-query-service	1			99%	0%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-metric-subscription-service	1			99%	0%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-notification-service	1			99%	0%
Muralidhar Krishnaprasad	Harini Nallanchakrawarthy	tabcld-pulse-timeseries-service	1	75%	0%	99%	5%
Muralidhar Krishnaprasad	Harsimran Chabbewal	c2c-hf	1	96%	77%	97%	100%
Muralidhar Krishnaprasad	Harsimran Chabbewal	cafe	1	97%	61%	100%	100%
Muralidhar Krishnaprasad	Harsimran Chabbewal	caps	1	0%	100%	0%	95%
Muralidhar Krishnaprasad	Harsimran Chabbewal	eventbusruntime	1	97%	24%	98%	100%
Muralidhar Krishnaprasad	Harsimran Chabbewal	gidruntime	1	97%	35%	0%	97%
Muralidhar Krishnaprasad	Harsimran Chabbewal	identity-token-service	1	0%	100%	0%	95%
Muralidhar Krishnaprasad	Harsimran Chabbewal	vaas-verificationengine	0	59%	61%	99%	20%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-beacon-ingress-gateway	0	94%	95%	100%	0%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-beacon-istio	0	67%	92%	31%	30%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-eks	0	98%	76%	13%	69%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-infra	0	0%	100%	0%	0%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-internal-ingress-gateway	0	95%	89%	100%	0%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-istio	0	78%	89%	32%	19%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-istio-ingress-gateway	0	91%	94%	100%	0%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-keda	1	99%	100%	0%	99%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-pra-istio-ingress-gateway	0	98%	100%	100%	0%
Muralidhar Krishnaprasad	Jim Ostrognai	cdp-settingspath-injector	0	98%	100%	99%	99%
Muralidhar Krishnaprasad	Jong Lee	apiq-api-gateway	1	98%	100%	0%	100%
Muralidhar Krishnaprasad	Jong Lee	apiq-artemis	1	98%	98%	0%	100%
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-activityassoc-shared	1	95%	98%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-activitymetrics-shared	1	95%	98%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-alrt-eap	1	98%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-contactenrichment-shared	1	98%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-e2e-shared	1	94%	98%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-eaas1-shared	1	98%	98%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-engmt-eap	1	95%	98%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-insights-shared	1	95%	98%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-mtrs-eap	1	99%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-riq2-shared	1	100%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-riq-shared	1	95%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-sharedservices-shared	1	100%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-sigparser-shared	1	98%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-stmp-shared	1	95%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-cass-threading-shared	1	100%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-data-streamer-eap	1	98%	99%	0%	0%
Muralidhar Krishnaprasad	Jong Lee	apiq-data-streamer-shared	1	96%	98%	0%	0%
Muralidhar Krishnaprasad	Jong Lee	apiq-es-alrts-eap	1	97%	99%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-es-engmt-eap	1	98%	99%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-es-inbox-shared	1	97%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-es-timeline-shared	1	97%	99%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-mongo-shared	1	100%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-schema-registry	1	98%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-storm-supervisor-eap	1	95%	0%	0%	0%
Muralidhar Krishnaprasad	Jong Lee	apiq-storm-supervisor-shared	1	94%	100%	0%	0%
Muralidhar Krishnaprasad	Jong Lee	apiq-zk-eap	1	98%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-zk-shared	1	98%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-zk-streamer-eap	1	98%	100%	0%	
Muralidhar Krishnaprasad	Jong Lee	apiq-zk-streamer-shared	1	97%	100%	0%	
Muralidhar Krishnaprasad	Meir Amiel	bundler-adapter-fedx	1	98%	67%	0%	100%
Muralidhar Krishnaprasad	Meir Amiel	bundler-avp-engine-fedx	1	98%	34%	0%	99%
Muralidhar Krishnaprasad	Meir Amiel	bundler-clustering-fedx	1	98%	44%	0%	99%
Muralidhar Krishnaprasad	Meir Amiel	bundler-manager-fedx	1	97%	92%	0%	99%
Muralidhar Krishnaprasad	Meir Amiel	e360-api-service	1	98%	47%	99%	100%
Muralidhar Krishnaprasad	Meir Amiel	e360-metadata-service	1	97%	59%	99%	100%
Muralidhar Krishnaprasad	Meir Amiel	e360-sms-service	1	98%	38%	99%	99%
Muralidhar Krishnaprasad	Meir Amiel	e360-tracking-service	1	98%	61%	100%	99%
Muralidhar Krishnaprasad	Meir Amiel	e360-whatsapp	1	97%	17%	99%	100%
Muralidhar Krishnaprasad	Meir Amiel	e360-whatsapp-receiver	1	97%	17%	99%	99%
Muralidhar Krishnaprasad	Meir Amiel	fwe-o2-engine	1	86%	65%	99%	0%
