servicename,total_count,on_fkp,percent_on_fkp
maiev-receiver,27,27,100.0
chronicle-oracle-exporter,27,27,100.0
sdb-dbaas-broker,27,27,100.0
kaaskeymaker,26,0,0.0
cdp-catalog,26,0,0.0
jarviscoordinator,26,26,100.0
terraform,26,0,0.0
workload-identity,26,26,100.0
cloudwatchexporter,26,0,0.0
mce-metrics-guard,26,26,100.0
policy-distribution,26,26,100.0
pbsgeo,26,26,100.0
flowsnake-history-server,26,26,100.0
kaasmasterkdc,26,0,0.0
smszk,26,26,100.0
jarvisstatusreporter,26,26,100.0
bharosa,26,26,100.0
fit-results-publisher,26,0,0.0
pradsm,26,26,100.0
argo-workflows,26,26,100.0
cloudcps,26,26,100.0
raphty,26,26,100.0
chronicle-loki,26,26,100.0
smscanary,26,26,100.0
quantumks2s,26,26,100.0
fit-org-service,26,0,0.0
pkicontroller,26,26,100.0
chronicle-argus-adapter,26,26,100.0
kmsdb-backup-validation,26,26,100.0
seciamsvc,26,26,100.0
secdsk8s,26,26,100.0
eaas,26,26,100.0
registry,26,0,0.0
skywalker,26,26,100.0
tentacle,26,26,100.0
onyx-agent,26,26,100.0
smsapi,26,26,100.0
strauz,26,26,100.0
ajnamirus,26,0,0.0
ciaccdisc,26,26,100.0
chronicle-cloudwatch-exporter,26,26,100.0
segint-sigma,25,25,100.0
scrt1zk,25,25,100.0
bdmpresto-access,25,18,72.0
certificateservices,25,0,0.0
clm-pdfgen-service,25,25,100.0
boxoffice,25,25,100.0
caasla,25,25,100.0
clm-docgen-service,25,25,100.0
mediaservicefd,25,25,100.0
crrs-fsfo-observer,25,25,100.0
managed-runtime-backend,25,25,100.0
jarvisapiserver,25,25,100.0
pbsmatch,25,25,100.0
eanalytics,25,0,0.0
inbound-mta,25,25,100.0
eventbusruntime,25,25,100.0
pupparazzi,25,25,100.0
gridforce,25,0,0.0
scrt1lapp,25,25,100.0
auth-service,24,24,100.0
segint-sigma-control-pod,24,24,100.0
pdf-service,24,24,100.0
eflow-orchestration,24,24,100.0
evf-service,24,24,100.0
scs,24,24,100.0
message-rendition-service,24,24,100.0
hawking-ml-console,24,24,100.0
hawking-oauth2,24,0,0.0
ccp-server,24,24,100.0
bot-svc-llm,24,24,100.0
perfometr,24,24,100.0
mvs,24,24,100.0
platform-radio,24,24,100.0
ccp-submitter,24,24,100.0
hawking-istiod,24,0,0.0
pdf-generation-service,24,24,100.0
hawking-compute-proxy,24,0,0.0
hawking-app-deployment,24,24,100.0
egpt-svc-feedback,24,24,100.0
ccp-eventprocessor,24,24,100.0
mllake,24,24,100.0
hawking-istio-operator,24,0,0.0
api-service,24,24,100.0
hawking-compute-eks,24,0,0.0
ccp-jobstate,24,24,100.0
normalization,24,24,100.0
data-resilience,24,24,100.0
prediction,24,24,100.0
einstein-ai-gateway,24,24,100.0
hawking-ai-observability,24,24,100.0
vaultlite,24,24,100.0
smartagent-predictor,24,24,100.0
hawking-istio-igw,24,0,0.0
bot-svc-llmagent,24,24,100.0
automl-scoring-service,24,24,100.0
ccp-tracker,24,24,100.0
polarity-predictor,24,24,100.0
modelstore,24,24,100.0
interactive-data-science,24,24,100.0
einstein-watcher,24,24,100.0
seas-console,24,24,100.0
triton,24,24,100.0
einstein-transcribe,24,24,100.0
ml-res-evaluator,24,24,100.0
graph-execution-service,24,24,100.0
provisioning-service,24,24,100.0
entities-predictor,24,24,100.0
ccp-esproxy,24,24,100.0
scrt2-mpadmin,23,23,100.0
bdmpresto-hive-metastore,23,18,78.3
seas-control-plane,23,23,100.0
seas-solr,23,23,100.0
bdmpresto,23,18,78.3
scrt2-agent,23,23,100.0
scrt2-eventrouter,23,23,100.0
scrt2-singleton,23,23,100.0
ums-mail-processor,23,23,100.0
scrt2-messagingchannels,23,23,100.0
scrt2-embeddedservice,23,23,100.0
ums-dns-api,23,23,100.0
ums-mail-archiver,23,23,100.0
ums-event-service,23,23,100.0
seas-zk,23,23,100.0
scrt2-stream-processor,23,23,100.0
ums-http-blackhole,23,23,100.0
scrt2-transcripts,23,23,100.0
ums-config-api,23,23,100.0
eventbusapi,23,23,100.0
scrt2-iamessage,23,23,100.0
k2kkeybroker,23,23,100.0
ums-mta-outbound,23,23,100.0
scrt2-admin,23,23,100.0
id-mapper,23,23,100.0
scrt2-telephony,23,23,100.0
scrt2-interaction,23,23,100.0
scrt2-conversation,23,23,100.0
scrt2-livemessage,23,23,100.0
scrt2-iaalert,23,23,100.0
eflow-scheduler,23,23,100.0
ums-mta-inbound,23,23,100.0
scrt2-routing,23,23,100.0
scrt2-controlplane,23,23,100.0
scrt2-chatbot,23,23,100.0
