,fi,fd,k8s_cluster,label_p_servicename
,aag-stage1,foundation,fit1,collection
,aag-stage1,foundation,fit1,collectioninjector
,aag-stage1,foundation,fit1,fit-controller-service
,aag-stage1,foundation,fit1,integration-test-service
,aag-stage1,foundation,fit1,madkub-injection-webhook
,aag-stage1,foundation,fit1,madkub-watchdog
,aag-stage1,foundation,fit1,metadata-concealer
,aag-stage1,foundation,fit1,stampy-webhook
,aag-stage1,foundation,iac,clustermanagement
,aag-stage1,foundation,iac,collection
,aag-stage1,foundation,iac,collectioninjector
,aag-stage1,foundation,iac,madkub-injection-webhook
,aag-stage1,foundation,iac,madkub-watchdog
,aag-stage1,foundation,iac,metadata-concealer
,aag-stage1,foundation,iac,registry
,aag-stage1,foundation,iac,stampy-webhook
,aag-stage1,foundation,iac,terraform
,aag-stage1,foundation,jit1,collection
,aag-stage1,foundation,jit1,collectioninjector
,aag-stage1,foundation,jit1,jit
,aag-stage1,foundation,jit1,madkub-watchdog
,aag-stage1,foundation,jit1,metadata-concealer
,aag-stage1,foundation,jit1,stampy-webhook
,aag-stage1,foundation,k8s,ajnaendpoint
,aag-stage1,foundation,k8s,ajnakafka
,aag-stage1,foundation,k8s,ajnakmf
,aag-stage1,foundation,k8s,ajnaloadmgr
,aag-stage1,foundation,k8s,ajnamirus
,aag-stage1,foundation,k8s,clustermanagement
,aag-stage1,foundation,k8s,collection
,aag-stage1,foundation,k8s,collectioninjector
,aag-stage1,foundation,k8s,madkub-injection-webhook
,aag-stage1,foundation,k8s,madkub-watchdog
,aag-stage1,foundation,k8s,metadata-concealer
,aag-stage1,foundation,k8s,stampy-webhook
,aag-stage1,foundation,magister-prod,clustermanagement
,aag-stage1,foundation,magister-prod,collection
,aag-stage1,foundation,magister-prod,collectioninjector
,aag-stage1,foundation,magister-prod,madkub-injection-webhook
,aag-stage1,foundation,magister-prod,madkub-watchdog
,aag-stage1,foundation,magister-prod,magister
,aag-stage1,foundation,magister-prod,metadata-concealer
,aag-stage1,foundation,magister-prod,stampy-webhook
,aag-stage1,foundation,magister-zc,clustermanagement
,aag-stage1,foundation,magister-zc,collection
,aag-stage1,foundation,magister-zc,collectioninjector
,aag-stage1,foundation,magister-zc,madkub-injection-webhook
,aag-stage1,foundation,magister-zc,madkub-watchdog
,aag-stage1,foundation,magister-zc,magister
,aag-stage1,foundation,magister-zc,metadata-concealer
,aag-stage1,foundation,magister-zc,stampy-webhook
,aag-stage1,foundation,pkip,clustermanagement
,aag-stage1,foundation,pkip,collection
,aag-stage1,foundation,pkip,collectioninjector
,aag-stage1,foundation,pkip,madkub-injection-webhook
,aag-stage1,foundation,pkip,madkub-watchdog
,aag-stage1,foundation,pkip,metadata-concealer
,aag-stage1,foundation,pkip,pkicontroller
,aag-stage1,foundation,pkip,pkiinfra
,aag-stage1,foundation,pkip,raphty
,aag-stage1,foundation,pkip,stampy-webhook
,aag-stage1,foundation,quantumk-a,clustermanagement
,aag-stage1,foundation,quantumk-a,collection
,aag-stage1,foundation,quantumk-a,collectioninjector
,aag-stage1,foundation,quantumk-a,madkub-injection-webhook
,aag-stage1,foundation,quantumk-a,madkub-watchdog
,aag-stage1,foundation,quantumk-a,metadata-concealer
,aag-stage1,foundation,quantumk-a,quantumk
,aag-stage1,foundation,quantumk-a,stampy-webhook
,aag-stage1,foundation,quantumk-b,clustermanagement
,aag-stage1,foundation,quantumk-b,collection
,aag-stage1,foundation,quantumk-b,collectioninjector
,aag-stage1,foundation,quantumk-b,madkub-injection-webhook
,aag-stage1,foundation,quantumk-b,madkub-watchdog
,aag-stage1,foundation,quantumk-b,metadata-concealer
,aag-stage1,foundation,quantumk-b,quantumk
,aag-stage1,foundation,quantumk-b,stampy-webhook
,aag-stage1,foundation,sam-control1,authzwebhook
,aag-stage1,foundation,sam-control1,collection
,aag-stage1,foundation,sam-control1,kubesyntheticscaler
,aag-stage1,foundation,sam-control1,madkub-injection-webhook
,aag-stage1,foundation,sam-control1,madkub-watchdog
,aag-stage1,foundation,sam-control1,metadata-concealer
