fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,foundation,quantumk-a,stampy-webhook,BlackJack,1
aag-stage1,foundation,quantumk-b,clustermanagement,BlackJack,1
aag-stage1,foundation,quantumk-b,collection,BlackJack,1
aag-stage1,foundation,quantumk-b,collectioninjector,BlackJack,1
aag-stage1,foundation,quantumk-b,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,quantumk-b,madkub-watchdog,BlackJack,1
aag-stage1,foundation,quantumk-b,metadata-concealer,BlackJack,1
aag-stage1,foundation,quantumk-b,quantumk,BlackJack,1
aag-stage1,foundation,quantumk-b,stampy-webhook,BlackJack,1
aag-stage1,foundation,sam-control1,authzwebhook,BlackJack,1
aag-stage1,foundation,sam-control1,clustermanagement,BlackJack,1
aag-stage1,foundation,sam-control1,collection,BlackJack,1
aag-stage1,foundation,sam-control1,collectioninjector,BlackJack,1
aag-stage1,foundation,sam-control1,kubesyntheticscaler,BlackJack,1
aag-stage1,foundation,sam-control1,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,sam-control1,madkub-watchdog,BlackJack,1
aag-stage1,foundation,sam-control1,metadata-concealer,BlackJack,1
aag-stage1,foundation,sam-control1,sam,BlackJack,1
aag-stage1,foundation,sam-control1,spo,BlackJack,1
aag-stage1,foundation,sam-control1,stampy-webhook,BlackJack,1
aag-stage1,foundation,soterfalcon1,clustermanagement,BlackJack,1
aag-stage1,foundation,soterfalcon1,collection,BlackJack,1
aag-stage1,foundation,soterfalcon1,collectioninjector,BlackJack,1
aag-stage1,foundation,soterfalcon1,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,soterfalcon1,madkub-watchdog,BlackJack,1
aag-stage1,foundation,soterfalcon1,metadata-concealer,BlackJack,1
aag-stage1,foundation,soterfalcon1,soterfalcon,BlackJack,1
