fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,core1,sam-processing1,fit-test-twister,BlackJack,1
aag-stage1,core1,sam-processing1,inbound-mta,BlackJack,1
aag-stage1,core1,sam-processing1,ingressassistant,BlackJack,1
aag-stage1,core1,sam-processing1,ingressgateway,BlackJack,1
aag-stage1,core1,sam-processing1,integration-test-service,BlackJack,1
aag-stage1,core1,sam-processing1,istio-copilot,BlackJack,1
aag-stage1,core1,sam-processing1,istio-metrics-service,BlackJack,1
aag-stage1,core1,sam-processing1,istio-operator,BlackJack,1
aag-stage1,core1,sam-processing1,istio-ordering,BlackJack,1
aag-stage1,core1,sam-processing1,istio-route-update-service,BlackJack,1
aag-stage1,core1,sam-processing1,istio-shipping,BlackJack,1
aag-stage1,core1,sam-processing1,istiod,BlackJack,1
aag-stage1,core1,sam-processing1,kubesyntheticscaler,BlackJack,1
aag-stage1,core1,sam-processing1,madkub-injection-webhook,BlackJack,1
aag-stage1,core1,sam-processing1,madkub-watchdog,BlackJack,1
aag-stage1,core1,sam-processing1,mediaservicefd,BlackJack,1
aag-stage1,core1,sam-processing1,mesh-operator,BlackJack,1
aag-stage1,core1,sam-processing1,metadata-concealer,BlackJack,1
aag-stage1,core1,sam-processing1,pbsmatch,BlackJack,1
aag-stage1,core1,sam-processing1,qpid,BlackJack,1
aag-stage1,core1,sam-processing1,sam,BlackJack,1
aag-stage1,core1,sam-processing1,sequencer,BlackJack,1
aag-stage1,core1,sam-processing1,solr-service,BlackJack,1
aag-stage1,core1,sam-processing1,spo,BlackJack,1
aag-stage1,core1,sam-processing1,stampy-webhook,BlackJack,1
aag-stage1,core1,sam-restricted1,authzwebhook,BlackJack,1
aag-stage1,core1,sam-restricted1,clustermanagement,BlackJack,1
aag-stage1,core1,sam-restricted1,collection,BlackJack,1
aag-stage1,core1,sam-restricted1,collectioninjector,BlackJack,1
aag-stage1,core1,sam-restricted1,collectioninjectortest,BlackJack,1
aag-stage1,core1,sam-restricted1,gridforce,BlackJack,1
aag-stage1,core1,sam-restricted1,hbase,BlackJack,1
aag-stage1,core1,sam-restricted1,istio-operator,BlackJack,1
aag-stage1,core1,sam-restricted1,istio-shipping,BlackJack,1
aag-stage1,core1,sam-restricted1,kubesyntheticscaler,BlackJack,1
aag-stage1,core1,sam-restricted1,madkub-injection-webhook,BlackJack,1
aag-stage1,core1,sam-restricted1,madkub-watchdog,BlackJack,1
aag-stage1,core1,sam-restricted1,metadata-concealer,BlackJack,1
aag-stage1,core1,sam-restricted1,sam,BlackJack,1
aag-stage1,core1,sam-restricted1,spo,BlackJack,1
aag-stage1,core1,sam-restricted1,stampy-webhook,BlackJack,1
aag-stage1,core1,sam-restricted2,authzwebhook,BlackJack,1
aag-stage1,core1,sam-restricted2,clustermanagement,BlackJack,1
aag-stage1,core1,sam-restricted2,collection,BlackJack,1
aag-stage1,core1,sam-restricted2,collectioninjector,BlackJack,1
aag-stage1,core1,sam-restricted2,collectioninjectortest,BlackJack,1
aag-stage1,core1,sam-restricted2,hbase,BlackJack,1
aag-stage1,core1,sam-restricted2,istio-operator,BlackJack,1
aag-stage1,core1,sam-restricted2,istio-shipping,BlackJack,1
aag-stage1,core1,sam-restricted2,kubesyntheticscaler,BlackJack,1
aag-stage1,core1,sam-restricted2,madkub-injection-webhook,BlackJack,1
